[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？ （燧石余火） 过场动画
[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？  （热舞狂欢） 过场动画
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 获得娜娜丝梨饼
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 和朋友们共度了一段愉快的时光…
[映天之章 第一幕：在此世的星空之外] （真是过分坚定的觉悟。）
[映天之章 第一幕：在此世的星空之外] （了解。）
[映天之章 第一幕：在此世的星空之外] 与凯瑟琳交谈，帮莫娜寻找住处
[映天之章 第一幕：在此世的星空之外] （我觉得她应该有办法。）
[映天之章 第一幕：在此世的星空之外] 前往魔法实验室，查看封印
[映天之章 第一幕：在此世的星空之外] 与莫娜交谈
[映天之章 第一幕：在此世的星空之外] （这可能是最好的选择了。）
[映天之章 第一幕：在此世的星空之外] （如你所说，这次旅程有益无害。）
[歌仙之章 第一幕「若你困于无风之地」] 前往神像广场某处
[歌仙之章 第一幕「若你困于无风之地」] （幻觉就是幻想朋友。）
[歌仙之章 第一幕「若你困于无风之地」] （现在不太出现了…）
[歌仙之章 第一幕「若你困于无风之地」] （是啊。）
[歌仙之章 第一幕「若你困于无风之地」] （这是眼镜型探测仪吗？）
[歌仙之章 第一幕「若你困于无风之地」] （真的有！）
[歌仙之章 第一幕「若你困于无风之地」] 看看芙萝拉
[歌仙之章 第一幕「若你困于无风之地」] （你好，可以问你一些事吗？）
[歌仙之章 第一幕「若你困于无风之地」] （你身边那个是…？）
[歌仙之章 第一幕「若你困于无风之地」] （我也见过斯坦利。）
[歌仙之章 第一幕「若你困于无风之地」] 看看提米
[歌仙之章 第一幕「若你困于无风之地」] （不敢相信…眼睛…）
[歌仙之章 第一幕「若你困于无风之地」] （派蒙，你不说那句话了吗？）
[歌仙之章 第一幕「若你困于无风之地」] 看看酒馆的成年人
[歌仙之章 第一幕「若你困于无风之地」] 看看艾琳
[歌仙之章 第一幕「若你困于无风之地」] （艾琳真是个努力的孩子啊。）
[歌仙之章 第一幕「若你困于无风之地」] （不也挺好吗？）
[歌仙之章 第一幕「若你困于无风之地」] 同时摧毁所有木桩
[歌仙之章 第一幕「若你困于无风之地」] 与艾琳对话
[歌仙之章 第一幕「若你困于无风之地」] （杰克是谁？）
[歌仙之章 第一幕「若你困于无风之地」] 前往南风之狮的庙宇
[歌仙之章 第一幕「若你困于无风之地」] 寻找杰克与斯坦利
[歌仙之章 第一幕「若你困于无风之地」] 你们发现杰克与斯坦利正遭到围攻…
[歌仙之章 第一幕「若你困于无风之地」] 解救杰克与斯坦利
[歌仙之章 第一幕「若你困于无风之地」] （斯坦利先生怎么想？）&杰克怎么想？
[歌仙之章 第一幕「若你困于无风之地」] 完成秘境冒险
[歌仙之章 第一幕「若你困于无风之地」] 与温迪对话
[歌仙之章 第一幕「若你困于无风之地」] （像是斯坦利描述里的自己。）
[歌仙之章 第一幕「若你困于无风之地」] （竟然有这么厉害的武器？）
[歌仙之章 第一幕「若你困于无风之地」] （好吧。）
[歌仙之章 第一幕「若你困于无风之地」] 寻找辉煌勇气之剑
[歌仙之章 第一幕「若你困于无风之地」] 击败举行仪式的丘丘人
[歌仙之章 第一幕「若你困于无风之地」] 拾取辉煌勇气之剑
[歌仙之章 第一幕「若你困于无风之地」] （巧舌如簧。）
[歌仙之章 第一幕「若你困于无风之地」] 斯坦利正在不远处偷听你们的对话，感觉自己已经被温迪发现，斯坦利匆匆离去…
[歌仙之章 第一幕「若你困于无风之地」] 寻找光耀意志之盾
[歌仙之章 第一幕「若你困于无风之地」] 与丘丘人交涉
[歌仙之章 第一幕「若你困于无风之地」] （温迪说得对！）
[歌仙之章 第一幕「若你困于无风之地」] （Vin plata dada！）
[歌仙之章 第一幕「若你困于无风之地」] （这朵甜甜花，送给你。）
[歌仙之章 第一幕「若你困于无风之地」] （温迪，唱歌。盾牌，给我。）
[歌仙之章 第一幕「若你困于无风之地」] （我也这么想…）
[歌仙之章 第一幕「若你困于无风之地」] 等待夜晚(18点到23点)
[歌仙之章 第一幕「若你困于无风之地」] 前往「天使的馈赠」
[歌仙之章 第一幕「若你困于无风之地」] 坐到斯坦利身后
[歌仙之章 第一幕「若你困于无风之地」] （莫非有什么隐情？）
[歌仙之章 第一幕「若你困于无风之地」] 试着与斯坦利交谈
[歌仙之章 第一幕「若你困于无风之地」] （他的人生被负罪感淹没了…）
[歌仙之章 第一幕「若你困于无风之地」] 歌仙之章 第一幕 若你困于无风之地 （故友之歌） 过场动画
[歌仙之章 第一幕「若你困于无风之地」] （只能猜猜看了…）
[歌仙之章 第一幕「若你困于无风之地」] 寻找「老地方」…?
[歌仙之章 第一幕「若你困于无风之地」] 歌仙之章 第一幕 若你困于无风之地 （故友之歌） 过场动画
[歌仙之章 第一幕「若你困于无风之地」] （派蒙，去采两个苹果来。）
[歌仙之章 第一幕「若你困于无风之地」] 歌仙之章 第一幕 若你困于无风之地 （故友之歌） 过场动画
[琉金之章 第一幕「如梦如电的隽永」] 前往鸣神岛的海边
[琉金之章 第一幕「如梦如电的隽永」] 追上离开的孩子们
[琉金之章 第一幕「如梦如电的隽永」] 前往「长野原烟花店」
[琉金之章 第一幕「如梦如电的隽永」] 确认声音的来源
[琉金之章 第一幕「如梦如电的隽永」] 随宵宫为朔次郎准备船只
[琉金之章 第一幕「如梦如电的隽永」] 去城里寻找烟花材料
[琉金之章 第一幕「如梦如电的隽永」] 与森彦交谈
[琉金之章 第一幕「如梦如电的隽永」] 前往「天目锻冶屋」
[琉金之章 第一幕「如梦如电的隽永」] 前往约定地点与耕一碰面
[琉金之章 第一幕「如梦如电的隽永」] ------------------------------------------------------------------------
[琉金之章 第一幕「如梦如电的隽永」] ------------------------------------------------------------------------
[琉金之章 第一幕「如梦如电的隽永」] ------------------------------------------------------------------------
[琉金之章 第一幕「如梦如电的隽永」] 去确认船的情况
[琉金之章 第一幕「如梦如电的隽永」] 将船的位置转告朔次郎
[琉金之章 第一幕「如梦如电的隽永」] 拜访老夫妻，寻求帮助
[琉金之章 第一幕「如梦如电的隽永」] 帮助老夫妻清理庭院
[琉金之章 第一幕「如梦如电的隽永」] 将咸萝卜送给村里的聪
[琉金之章 第一幕「如梦如电的隽永」] 回报老夫妻
[琉金之章 第一幕「如梦如电的隽永」] 将消息告诉朔次郎
[琉金之章 第一幕「如梦如电的隽永」] 沿路出城寻找线索
[琉金之章 第一幕「如梦如电的隽永」] 和孩子们交谈
[琉金之章 第一幕「如梦如电的隽永」] 按照孩子们指示的方向前进
[琉金之章 第一幕「如梦如电的隽永」] 接近拦路的天领奉行众
[琉金之章 第一幕「如梦如电的隽永」] 击败天领奉行众
[琉金之章 第一幕「如梦如电的隽永」] 与仓皇的天领奉行众交谈
[琉金之章 第一幕「如梦如电的隽永」] 继续深入，寻找朔次郎
[琉金之章 第一幕「如梦如电的隽永」] 战胜今谷佳祐
[琉金之章 第一幕「如梦如电的隽永」] 与今谷佳祐和朔次郎交谈
[琉金之章 第一幕「如梦如电的隽永」] 前往观看烟花会的地方
[琉金之章 第一幕「如梦如电的隽永」] 与宵宫交谈
[琉金之章 第一幕「如梦如电的隽永」] ----------------------------------------
[琉金之章 第一幕「如梦如电的隽永」] ----------------------------------------
[琉金之章 第一幕「如梦如电的隽永」] -------------------------------------------
[天下人之章 第一幕：影照浮世风流] 前往千手百眼神像
[天下人之章 第一幕：影照浮世风流] 与托马和九条镰治交谈
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] 前往鸣神大社寻找八重神子
[天下人之章 第一幕：影照浮世风流] 寻找八重神子
[天下人之章 第一幕：影照浮世风流] 与八重神子交谈
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] 前去面见将军
[天下人之章 第一幕：影照浮世风流] 与门前的毅交谈
[天下人之章 第一幕：影照浮世风流] 进入天守阁，面见将军
[天下人之章 第一幕：影照浮世风流] 进入「一心净土」
[天下人之章 第一幕：影照浮世风流] 与远处的影交谈
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------
[天下人之章 第一幕：影照浮世风流] 和影一起去街上逛逛
[天下人之章 第一幕：影照浮世风流] 与影交谈
[天下人之章 第一幕：影照浮世风流] 陪同影逛街
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] 跟随影前往智树的摊位
[天下人之章 第一幕：影照浮世风流] 与智树交谈
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] 和影一起去八重堂
[天下人之章 第一幕：影照浮世风流] 与黑田交谈
[天下人之章 第一幕：影照浮世风流] 前往书架试看轻小说
[天下人之章 第一幕：影照浮世风流] 与影交谈
[天下人之章 第一幕：影照浮世风流] 挑选一本合适的轻小说
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] 为影推荐并讲解书中内容
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] ----------------------------------------
[天下人之章 第一幕：影照浮世风流] 前往风景优美的留影地
[天下人之章 第一幕：影照浮世风流] 推荐合适的留影姿势
[天下人之章 第一幕：影照浮世风流] --------------------------------------------
[天下人之章 第一幕：影照浮世风流] --------------------------------------------
[天下人之章 第一幕：影照浮世风流] --------------------------------------------
[天下人之章 第一幕：影照浮世风流] --------------------------------------------
[天下人之章 第一幕：影照浮世风流] --------------------------------------------
[天下人之章 第一幕：影照浮世风流] 选择合适的位置留影
[天下人之章 第一幕：影照浮世风流] 将画片展示给影看
[天下人之章 第一幕：影照浮世风流] 顺着声音去一探究竟
[天下人之章 第一幕：影照浮世风流] 与急匆匆的一平交谈
[天下人之章 第一幕：影照浮世风流] 前往鹰司家的隐秘驻地
[天下人之章 第一幕：影照浮世风流] 进入隐秘驻地
[天下人之章 第一幕：影照浮世风流] 与影交谈
[天下人之章 第一幕：影照浮世风流] 抵达最深处
[天下人之章 第一幕：影照浮世风流] 与九条镰治与鹰司进交谈
[天下人之章 第一幕：影照浮世风流] 目睹双方的决斗
[天下人之章 第一幕：影照浮世风流] 聆听影的决断
[天下人之章 第一幕：影照浮世风流] 随影离开驻地
[天下人之章 第一幕：影照浮世风流] 前往影的身边
[天下人之章 第一幕：影照浮世风流] 与雷电影交谈
[天下人之章 第一幕：影照浮世风流] 将通行证明还给八重神子
[天下人之章 第一幕：影照浮世风流] 与八重神子交谈
[邀约事件·五郎 第一幕 「犬大将的特别行动」] 〓路线攻略〓
[邀约事件·五郎 第一幕 「犬大将的特别行动」] End1 战略性撤退
[邀约事件·五郎 第一幕 「犬大将的特别行动」] 「下，下次一定...」
[邀约事件·五郎 第一幕 「犬大将的特别行动」] End2 甜品最棒了！
[邀约事件·五郎 第一幕 「犬大将的特别行动」] 最重要的就是开心。
[邀约事件·五郎 第一幕 「犬大将的特别行动」] End3 那个是...
[邀约事件·五郎 第一幕 「犬大将的特别行动」] 「总觉得你好像有什么事瞒着我...」
[邀约事件·五郎 第一幕 「犬大将的特别行动」] End4 微笑着告别
[邀约事件·五郎 第一幕 「犬大将的特别行动」] 「笑着告别，为的是下次见面时笑着打招呼。」
[邀约事件·五郎 第一幕 「犬大将的特别行动」] End5 最后的纪念
[邀约事件·五郎 第一幕 「犬大将的特别行动」] 「让我再为他们难过一会儿吧。」
[邀约事件·北斗 第一幕 「南十字闪耀时」] 〓路线攻略〓
[邀约事件·北斗 第一幕 「南十字闪耀时」] End1 两个人的留影课
[邀约事件·北斗 第一幕 「南十字闪耀时」] 久违的笑语打破了渔村的沉寂，无人的天地也似乎变得动听起来。
[邀约事件·北斗 第一幕 「南十字闪耀时」] End2「妩媚」
[邀约事件·北斗 第一幕 「南十字闪耀时」] 「明明说好了摆个妩媚的姿势…」「和谁说好了！？」
[邀约事件·北斗 第一幕 「南十字闪耀时」] End3 当一切结束后
[邀约事件·北斗 第一幕 「南十字闪耀时」] 北斗期待着与你在「船上」再见的那天。
[邀约事件·北斗 第一幕 「南十字闪耀时」] End4 绯樱飘落归离处
[邀约事件·北斗 第一幕 「南十字闪耀时」] 故乡的绯樱沉入大海，游子的思念送归母亲...
[邀约事件·北斗 第一幕 「南十字闪耀时」] End5 你我之间
[邀约事件·北斗 第一幕 「南十字闪耀时」] 觥筹间交错着的，是由人情编织的连结之网。
[邀约事件·早柚 第一幕「呜呼流·生长之术」] 〓路线攻略〓
[邀约事件·早柚 第一幕「呜呼流·生长之术」] End1 凡事都需节制
[邀约事件·早柚 第一幕「呜呼流·生长之术」] 「逃脱」对早柚来说如同家常便饭，但这次她失手了。
[邀约事件·早柚 第一幕「呜呼流·生长之术」] End2 如在天际翱翔
[邀约事件·早柚 第一幕「呜呼流·生长之术」] 虽然长高之事并不顺利，但至少你能让她看到未来的风景。
[邀约事件·早柚 第一幕「呜呼流·生长之术」] End3 早柚绝不工作！
[邀约事件·早柚 第一幕「呜呼流·生长之术」] 既然怎么都藏不住，那就只能靠速度了！
[邀约事件·早柚 第一幕「呜呼流·生长之术」] End4 与树同行
[邀约事件·早柚 第一幕「呜呼流·生长之术」] 稍微有点理解她的想法了，终有一天，她能够回应所有的期待吧。
[邀约事件·早柚 第一幕「呜呼流·生长之术」] End5 最安稳的休憩
[邀约事件·早柚 第一幕「呜呼流·生长之术」] 辛劳之后的休憩最为甘甜，你见证了她的努力，此时就再多守护她一会儿吧。
[邀约事件·早柚 第一幕「呜呼流·生长之术」] End6 小小早柚之烦恼
[邀约事件·早柚 第一幕「呜呼流·生长之术」] 每个人都要在烦恼中学习如何与世界相处，早柚也不例外...
[邀约事件·托马 第一幕「家政官的日常工作」] 〓路线攻略〓
[邀约事件·托马 第一幕「家政官的日常工作」] End1 热闹的课堂
[邀约事件·托马 第一幕「家政官的日常工作」] 不管是谁，都要好好听讲哦。
[邀约事件·托马 第一幕「家政官的日常工作」] End2 独处的时光
[邀约事件·托马 第一幕「家政官的日常工作」] 织毛衣，比想象中的还要困难呢。
[邀约事件·托马 第一幕「家政官的日常工作」] End3 寄托思念的海风
[邀约事件·托马 第一幕「家政官的日常工作」] 唯有陪伴，能够缓解孤独与悲伤。
[邀约事件·托马 第一幕「家政官的日常工作」] End4 新衣服！
[邀约事件·托马 第一幕「家政官的日常工作」] 托马为流浪猫狗织的毛衣，不过有一件似乎不太合适？
[邀约事件·托马 第一幕「家政官的日常工作」] End5 手有余香
[邀约事件·托马 第一幕「家政官的日常工作」] 希望这枚御守，可以给你带来更多的好运。
[邀约事件·托马 第一幕「家政官的日常工作」] End6 家政官的另一面
[邀约事件·托马 第一幕「家政官的日常工作」] 「果然，还是做家政轻松有趣。」
[邀约事件·诺艾尔 第二幕「骑士备考之道」] 〓路线攻略〓
[邀约事件·诺艾尔 第二幕「骑士备考之道」] End1 岩间稍憩
[邀约事件·诺艾尔 第二幕「骑士备考之道」] 骑士无论身在何处，都会秉承「守护」的决意。
[邀约事件·诺艾尔 第二幕「骑士备考之道」] End2 《女仆骑士》
[邀约事件·诺艾尔 第二幕「骑士备考之道」] 「骑士西出石门关，仗剑行遍万重山。一入璃月成佳话，从此芳名百事传！」
[邀约事件·诺艾尔 第二幕「骑士备考之道」] End3 满分答卷
[邀约事件·诺艾尔 第二幕「骑士备考之道」] 虽然完美通过了冒险家入门考核，但现在加入冒险家协会，似乎还为时尚早呢...
[邀约事件·诺艾尔 第二幕「骑士备考之道」] End4 错题漏分
[邀约事件·诺艾尔 第二幕「骑士备考之道」] 「万一...这题也要考呢？！」
[邀约事件·诺艾尔 第二幕「骑士备考之道」] End5 独一无二的诺艾尔
[邀约事件·诺艾尔 第二幕「骑士备考之道」] 总有一天，诺艾尔会成为一名独一无二的骑士。
[邀约事件·诺艾尔 第二幕「骑士备考之道」] End6 女仆的本职工作
[邀约事件·诺艾尔 第二幕「骑士备考之道」] 扬长避短...或许会是一个好主意。
[邀约事件·迪奥娜 第一幕「猫与特调酒」] 〓路线攻略〓
[邀约事件·迪奥娜 第一幕「猫与特调酒」] End1 猫咪派对
[邀约事件·迪奥娜 第一幕「猫与特调酒」] 看来，猫尾酒馆里会有一场盛大的猫咪派对了。
[邀约事件·迪奥娜 第一幕「猫与特调酒」] End2 难揣测的猫咪们
[邀约事件·迪奥娜 第一幕「猫与特调酒」] 猫咪真是一种...难以揣测的生物啊...
[邀约事件·迪奥娜 第一幕「猫与特调酒」] End3 迪奥娜的特制饮品
[邀约事件·迪奥娜 第一幕「猫与特调酒」] 如果是迪奥娜亲手调制，那么味道也许...不会太糟？
[邀约事件·迪奥娜 第一幕「猫与特调酒」] End4 「我...只喝了...一点点...」
[邀约事件·迪奥娜 第一幕「猫与特调酒」] 美酒虽好，但不要贪杯喔。
[邀约事件·迪奥娜 第一幕「猫与特调酒」] End5 终极特调
[邀约事件·迪奥娜 第一幕「猫与特调酒」] 「别开玩笑了！你们这两个酒鬼大叔——」
[邀约事件·诺艾尔 第一幕「骑士修行之道」] 〓结局CG〓
[邀约事件·诺艾尔 第一幕「骑士修行之道」] End1 遇冷的盛情
[邀约事件·诺艾尔 第一幕「骑士修行之道」] 不是所有盛情的款待，都有完美的落幕。
[邀约事件·诺艾尔 第一幕「骑士修行之道」] End2 「再见，女仆小姐！」
[邀约事件·诺艾尔 第一幕「骑士修行之道」] 每一次出门，都会带上温柔的心意。
[邀约事件·诺艾尔 第一幕「骑士修行之道」] End3 守护之心即是力量
[邀约事件·诺艾尔 第一幕「骑士修行之道」] 、
[邀约事件·诺艾尔 第一幕「骑士修行之道」] 这份力量，是为了守护而存在。
[邀约事件·诺艾尔 第一幕「骑士修行之道」] End4 女仆，屹立在大地之上
[邀约事件·诺艾尔 第一幕「骑士修行之道」] …不过是些石头而已。
[邀约事件·诺艾尔 第一幕「骑士修行之道」] End5 恋爱这道难题
[邀约事件·诺艾尔 第一幕「骑士修行之道」] 想找出恋爱的公式，或许还需要一段时间…
[邀约事件·诺艾尔 第一幕「骑士修行之道」] End6 纸玫瑰的低语
[邀约事件·诺艾尔 第一幕「骑士修行之道」] 「玫瑰的意义，只存在于你我心中…」
[邀约事件·班尼特 第一幕「美妙旅程」] 〓路线攻略〓
[邀约事件·班尼特 第一幕「美妙旅程」] End1 徒劳的等待
[邀约事件·班尼特 第一幕「美妙旅程」] 「打折之类的事，果然没那么容易遇到啊...」
[邀约事件·班尼特 第一幕「美妙旅程」] End2 匆忙的道别
[邀约事件·班尼特 第一幕「美妙旅程」] 那是足以改变天气的程度的不幸。
[邀约事件·班尼特 第一幕「美妙旅程」] End3 试菜员罗伊斯
[邀约事件·班尼特 第一幕「美妙旅程」] 该说...好在是先让罗伊斯吃掉了吗？
[邀约事件·班尼特 第一幕「美妙旅程」] End4 「牺牲」的决意
[邀约事件·班尼特 第一幕「美妙旅程」] 成功地将不幸体质短暂隔绝，只是代价...
[邀约事件·班尼特 第一幕「美妙旅程」] End5 不愧是A级委托
[邀约事件·班尼特 第一幕「美妙旅程」] 只是一步做错就被关起来，果然是A级委托吧？
[邀约事件·班尼特 第一幕「美妙旅程」] End6 幸运的可能性
[邀约事件·班尼特 第一幕「美妙旅程」] 或许是善意，让你们抓住了混在不幸之中的小小幸运。
[邀约事件·重云 第一幕「寻妖觅邪记」] 〓路线攻略〓
[邀约事件·重云 第一幕「寻妖觅邪记」] End1 焉知非福
[邀约事件·重云 第一幕「寻妖觅邪记」] 「相比得失，旅程中的见闻与巧合，也是重要的收获。」
[邀约事件·重云 第一幕「寻妖觅邪记」] End2 休闲之趣
[邀约事件·重云 第一幕「寻妖觅邪记」] 若非有你的邀请，重云也不会想到他如此受小孩欢迎吧。
[邀约事件·重云 第一幕「寻妖觅邪记」] End3 难敌热力
[邀约事件·重云 第一幕「寻妖觅邪记」] 他的勇敢与信任值得敬佩，但结果...
[邀约事件·重云 第一幕「寻妖觅邪记」] End4 一无所获
[邀约事件·重云 第一幕「寻妖觅邪记」] 总是会有诸事不顺的日子。
[邀约事件·重云 第一幕「寻妖觅邪记」] End5 告别
[邀约事件·重云 第一幕「寻妖觅邪记」] 方士有自己的难处，既然如此，就为他代劳吧。
[邀约事件·重云 第一幕「寻妖觅邪记」] End6 小小的遗憾
[邀约事件·重云 第一幕「寻妖觅邪记」] 距离圆满，可能只缺小小的契机。
[邀约事件·芭芭拉 第一幕「治愈的清泉」] 〓路线攻略〓
[邀约事件·芭芭拉 第一幕「治愈的清泉」] End1 不太适时的热情
[邀约事件·芭芭拉 第一幕「治愈的清泉」] 「看来芭芭拉小姐确实不在这里呢...」
[邀约事件·芭芭拉 第一幕「治愈的清泉」] End2 来自璃月的辣味
[邀约事件·芭芭拉 第一幕「治愈的清泉」] 这杯辣味饮料的味道，和这次旅程一样特别。
[邀约事件·芭芭拉 第一幕「治愈的清泉」] End3 「努力的味道」
[邀约事件·芭芭拉 第一幕「治愈的清泉」] 这杯饮料中，有着「努力」的味道。
[邀约事件·芭芭拉 第一幕「治愈的清泉」] End4 未完成的治愈
[邀约事件·芭芭拉 第一幕「治愈的清泉」] 在成为一位成熟的牧师之前，或许，这是必经之事...
[邀约事件·芭芭拉 第一幕「治愈的清泉」] End5 蒙德假日
[邀约事件·芭芭拉 第一幕「治愈的清泉」] 「道别之日还早。我们才刚刚相识。」
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 你们在望舒客栈附近发现了一些沾染「邪气」的丘丘人，而一位自称「掇星攫辰天君」的仙人正在附近为「信众」们展示驱魔之术···
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 在望舒客栈附近查看
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 消灭沾染「邪气」的丘丘人
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与戴着面具的男子对话
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与「信众」们交谈，了解「掇星攫辰天君」
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与「信众」们交谈，了解「掇星攫辰天君」
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与「信众」们交谈，了解「掇星攫辰天君」
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与「掇星攫辰天君」对话
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 作为让「掇星攫辰天君」帮忙实现愿望的代价，你们准备前往「万文集舍」购买料理相关的书籍。而在那里遇到的是···
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 前往「万文集舍」
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 付完账后，「掇星攫辰天君」离开了···
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与纪芳对话、询问《护法仙众夜叉录》的情况
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 找到《护法仙众夜叉录》
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 书中记载了太古年代璃月土地上关于夜叉的往事。古时的璃月，掺疫、鬼怪与异变随处可见，皆是因为战败魔神的残躯将憎恨与怨怒四处散布，生成了「妖邪」。
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 「夜叉」应岩王帝君之召，除灭妖邪。漫长血战中，他们受到了魔神遗恨的污染，经历了诸多痛苦之事，最后仅有一位「降魔大圣」仍存世间···
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 回到望舒客栈附近，寻找「掇星攫辰天君」
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 消灭沾染「邪气」的丘丘人
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与「掇星攫辰天君」对话，了解情况
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 「掇星攫辰天君」的驱魔能力竟是源于「百无禁忌景」的效果。在他这次意外失手以后，你们向着「邪气」丘丘人离开的方向追去···
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 利用「元素视野」，追踪「邪气」丘丘人
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与魈对话
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 前往散发「业障」气息的洞天
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 清剿「邪气丘丘人」聚集的洞天
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 你们与魈一道「清扫」了这里···
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 派蒙讲述了「掇星攫辰天君」的事情···
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 为了回收「百无禁忌算』并警示「假仙人」不要再作恶，你们准备在菌的指导下施展真正的「仙法」，让T假仙人I在睡梦中得到些教训。
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 到达天衡山南部的庙宇
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 与守庙人谈话
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 收集仪式所用道具——香炉
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 收集仪式所用道具——七星灯
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] 回去找铜雀先生
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
[金翅鹏王之章 第一幕「槐柯胡蝶，傩佑之梦」] ------------------------------
